Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1991","1991","7021","Annual value","USD","282.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1992","1992","7021","Annual value","USD","294.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1993","1993","7021","Annual value","USD","416.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1994","1994","7021","Annual value","USD","1260.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1995","1995","7021","Annual value","USD","1121.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1996","1996","7021","Annual value","USD","932.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1997","1997","7021","Annual value","USD","1250.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1998","1998","7021","Annual value","USD","1084","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","1999","1999","7021","Annual value","USD","725","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2000","2000","7021","Annual value","USD","676.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2001","2001","7021","Annual value","USD","382.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2002","2002","7021","Annual value","USD","309.9","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2003","2003","7021","Annual value","USD","430.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2004","2004","7021","Annual value","USD","509.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2005","2005","7021","Annual value","USD","760.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2006","2006","7021","Annual value","USD","806","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2007","2007","7021","Annual value","USD","1181.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2008","2008","7021","Annual value","USD","1562.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2009","2009","7021","Annual value","USD","1903.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2010","2010","7021","Annual value","USD","2472.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2011","2011","7021","Annual value","USD","4019.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2012","2012","7021","Annual value","USD","3032","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2013","2013","7021","Annual value","USD","2326.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2014","2014","7021","Annual value","USD","2776.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2015","2015","7021","Annual value","USD","2122.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2016","2016","7021","Annual value","USD","2234.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2018","2018","7021","Annual value","USD","1742.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2019","2019","7021","Annual value","USD","1486","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2020","2020","7021","Annual value","USD","1428.8","A","Official figure"
